,Unnamed: 0,runs,mins,BF,4s,6s,SR,Pos,Dismissal,Inns,opponent,ground,date,match,total
422,438,36,124,119,5,0,30.25,4,lbw,2,Zimbabwe,Delhi,28Feb2002,Test,18700
423,439,42,78,52,7,1,80.76,5,lbw,4,Zimbabwe,Delhi,28Feb2002,Test,18742
424,440,79,191,136,13,0,58.08,4,lbw,2,WestIndies,Georgetown,11Apr2002,Test,18821
425,441,117,356,260,14,0,45.00,4,lbw,1,WestIndies,PortofSpain,19Apr2002,Test,18938
426,442,0,16,4,0,0,0.00,4,lbw,3,WestIndies,PortofSpain,19Apr2002,Test,18938
427,443,0,4,2,0,0,0.00,4,caught,1,WestIndies,Bridgetown,2May2002,Test,18938
428,444,8,32,17,1,0,47.05,4,lbw,3,WestIndies,Bridgetown,2May2002,Test,18946
429,445,0,2,1,0,0,0.00,4,caught,1,WestIndies,StJohn's,10May2002,Test,18946
430,446,41,94,63,7,0,65.07,4,bowled,2,WestIndies,Kingston,18May2002,Test,18987
431,447,86,162,139,13,0,61.87,4,bowled,4,WestIndies,Kingston,18May2002,Test,19073
432,448,34,64,45,2,0,75.55,4,notout,2,WestIndies,Bridgetown,29May2002,ODI,19107
433,449,65,110,70,3,1,92.85,4,bowled,1,WestIndies,PortofSpain,2Jun2002,ODI,19172
434,450,1,12,9,0,0,11.11,4,lbw,2,England,Lord's,29Jun2002,ODI,19173
435,451,49,123,70,3,1,70.00,4,caught,2,SriLanka,TheOval,30Jun2002,ODI,19222
436,452,105,167,108,8,1,97.22,4,notout,1,England,Chester-le-Street,4Jul2002,ODI,19327
437,453,19,35,25,3,0,76.00,4,caught,2,SriLanka,Birmingham,6Jul2002,ODI,19346
438,454,36,60,29,5,0,124.13,4,caught,2,England,TheOval,9Jul2002,ODI,19382
439,455,113,141,102,12,1,110.78,4,caught,1,SriLanka,Bristol,11Jul2002,ODI,19495
440,456,14,31,19,1,0,73.68,4,bowled,2,England,Lord's,13Jul2002,ODI,19509
441,457,16,94,61,2,0,26.22,5,caught,2,England,Lord's,25Jul2002,Test,19525
442,458,12,51,35,2,0,34.28,4,bowled,4,England,Lord's,25Jul2002,Test,19537
443,459,34,90,68,6,0,50.00,4,bowled,1,England,Nottingham,8Aug2002,Test,19571
444,460,92,160,113,17,0,81.41,4,bowled,3,England,Nottingham,8Aug2002,Test,19663
445,461,193,434,330,19,3,58.48,4,lbw,1,England,Leeds,22Aug2002,Test,19856
446,462,54,114,89,10,0,60.67,4,lbw,2,England,TheOval,5Sep2002,Test,19910
447,463,7,39,16,0,0,43.75,4,caught,1,Zimbabwe,Colombo(RPS),14Sep2002,ODI,19917
448,464,9,34,20,0,0,45.00,4,notout,2,England,Colombo(RPS),22Sep2002,ODI,19926
449,465,16,39,29,1,0,55.17,4,runout,1,SouthAfrica,Colombo(RPS),25Sep2002,ODI,19942
450,467,7,33,22,1,0,31.81,3,notout,2,SriLanka,Colombo(RPS),30Sep2002,ODI,19949
451,468,35,96,88,5,0,39.77,4,caught,1,WestIndies,Wankhede,9Oct2002,Test,19984
452,469,43,156,113,5,0,38.05,4,bowled,2,WestIndies,Chennai,17Oct2002,Test,20027
453,470,16,15,20,0,0,80.00,4,notout,4,WestIndies,Chennai,17Oct2002,Test,20043
454,471,36,85,65,7,0,55.38,4,caught,1,WestIndies,Kolkata,30Oct2002,Test,20079
455,472,176,419,298,26,0,59.06,4,caught,3,WestIndies,Kolkata,30Oct2002,Test,20255
456,473,8,47,26,2,0,30.76,4,lbw,1,NewZealand,Wellington,12Dec2002,Test,20263
457,474,51,120,74,7,0,68.91,4,bowled,3,NewZealand,Wellington,12Dec2002,Test,20314
458,475,9,40,31,1,0,29.03,4,caught,1,NewZealand,Hamilton,19Dec2002,Test,20323
459,476,32,55,48,5,0,66.66,4,bowled,3,NewZealand,Hamilton,19Dec2002,Test,20355
460,477,0,9,10,0,0,0.00,4,lbw,2,NewZealand,Wellington,8Jan2003,ODI,20355
461,478,1,21,13,0,0,7.69,4,caught,2,NewZealand,Auckland,11Jan2003,ODI,20356
462,479,1,7,6,0,0,16.66,3,caught,1,NewZealand,Hamilton,14Jan2003,ODI,20357
463,480,52,91,72,7,0,72.22,2,caught,1,Netherlands,Paarl,12Feb2003,ODI,20409
464,481,36,127,59,3,0,61.01,2,lbw,1,Australia,Centurion,15Feb2003,ODI,20445
465,482,81,122,91,10,0,89.01,2,bowled,1,Zimbabwe,Harare,19Feb2003,ODI,20526
466,483,152,193,151,18,0,100.66,2,bowled,1,Namibia,Pietermaritzburg,23Feb2003,ODI,20678
467,484,50,78,52,8,1,96.15,2,caught,1,England,Durban,26Feb2003,ODI,20728
468,485,98,145,75,12,1,130.66,1,caught,2,Pakistan,Centurion,1Mar2003,ODI,20826
469,486,5,21,12,1,0,41.66,2,caught,2,Kenya,CapeTown,7Mar2003,ODI,20831
470,487,97,160,120,7,1,80.83,1,caught,1,SriLanka,Johannesburg,10Mar2003,ODI,20928
471,488,15,25,16,3,0,93.75,2,caught,2,NewZealand,Centurion,14Mar2003,ODI,20943
472,489,83,166,101,5,1,82.17,2,caught,1,Kenya,Durban,20Mar2003,ODI,21026
473,490,4,2,5,1,0,80.00,1,caught,2,Australia,Johannesburg,23Mar2003,ODI,21030
474,491,8,54,38,1,0,21.05,4,caught,1,NewZealand,Ahmedabad,8Oct2003,Test,21038
475,492,7,19,15,0,0,46.66,4,caught,3,NewZealand,Ahmedabad,8Oct2003,Test,21045
476,493,55,238,175,6,0,31.42,4,caught,2,NewZealand,Mohali,16Oct2003,Test,21100
477,494,1,15,10,0,0,10.00,4,bowled,3,NewZealand,Mohali,16Oct2003,Test,21101
478,495,48,119,66,5,0,72.72,2,notout,1,NewZealand,Chennai,23Oct2003,ODI,21149
479,496,100,158,119,9,1,84.03,2,caught,1,Australia,Gwalior,26Oct2003,ODI,21249
480,497,68,113,76,10,0,89.47,2,bowled,2,Australia,Wankhede,1Nov2003,ODI,21317
481,498,14,29,14,3,0,100.00,2,lbw,1,NewZealand,Cuttack,6Nov2003,ODI,21331
482,499,89,133,91,12,1,97.80,2,bowled,2,Australia,Bengaluru,12Nov2003,ODI,21420
483,500,102,124,91,12,1,112.08,2,caught,1,NewZealand,Hyderabad(Deccan),15Nov2003,ODI,21522
484,501,45,104,66,5,0,68.18,1,bowled,2,Australia,Kolkata,18Nov2003,ODI,21567
485,502,0,3,3,0,0,0.00,4,lbw,2,Australia,Brisbane,4Dec2003,Test,21567
486,504,1,15,6,0,0,16.66,4,caught,2,Australia,Adelaide,12Dec2003,Test,21568
487,505,37,79,59,5,0,62.71,4,lbw,4,Australia,Adelaide,12Dec2003,Test,21605
488,506,0,3,1,0,0,0.00,4,caught,1,Australia,Melbourne,26Dec2003,Test,21605
489,507,44,107,79,5,0,55.69,5,caught,3,Australia,Melbourne,26Dec2003,Test,21649
490,508,241,613,436,33,0,55.27,4,notout,1,Australia,Sydney,2Jan2004,Test,21890
491,509,60,108,89,5,0,67.41,4,notout,3,Australia,Sydney,2Jan2004,Test,21950
492,510,63,117,69,8,1,91.30,2,caught,2,Australia,Melbourne,9Jan2004,ODI,22013
